Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos
1060,Max\'a0Stassi\\stassma01,23,HOU,AL,7,20,20,2,7,2,0,0,4,0,0,0,6,.350,.350,.450,.800,126,9,0,0,0,0,0,/2\
1061,Tim\'a0Stauffer\\staufti01,32,SDP,NL,42,8,7,0,1,0,0,0,0,0,0,0,2,.143,.143,.143,.286,-16,1,0,0,1,0,0,1\
1062,Chris\'a0Stewart\\stewach01,32,PIT,NL,49,154,136,9,40,5,0,0,10,0,1,12,27,.294,.362,.331,.693,98,45,2,3,2,1,2,2\
1063,Ian\'a0Stewart*\\stewaia01,29,LAA,AL,24,72,68,8,12,2,3,2,7,1,0,3,31,.176,.222,.382,.605,72,26,1,1,0,0,0,5/3D\
1064,Matt\'a0Stites*\\stitema01,24,ARI,NL,35,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1065,Drew\'a0Storen#\\storedr01,26,WSN,NL,62,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1066,Dan\'a0Straily\\straida01,25,TOT,MLB,6,2,1,0,0,0,0,0,0,0,0,1,1,.000,.500,.000,.500,55,0,0,0,0,0,0,1\
1067,Stephen\'a0Strasburg\\strasst01,25,WSN,NL,33,76,60,3,6,1,0,0,3,0,0,7,26,.100,.194,.117,.311,-11,7,1,0,9,0,0,1\
1068,Huston\'a0Street\\streehu01,30,TOT,MLB,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1069,Hunter\'a0Strickland\\strichu01,25,SFG,NL,8,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1\
1070,Marcus\'a0Stroman\\stromma01,23,TOR,AL,8,0,0,2,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1/D\
1071,Pedro\'a0Strop\\stroppe01,29,CHC,NL,63,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1\
1072,Drew\'a0Stubbs\\stubbdr01,29,COL,NL,132,424,388,67,112,22,4,15,43,20,3,30,136,.289,.339,.482,.821,114,187,4,1,2,3,1,*8\
1073,Eric\'a0Stults*\\stulter01,34,SDP,NL,29,53,48,1,4,1,0,0,1,0,0,1,18,.083,.102,.104,.206,-40,5,1,0,4,0,0,1\
1074,Eugenio\'a0Suarez\\suareeu01,22,DET,AL,85,277,244,33,59,9,1,4,23,3,2,22,67,.242,.316,.336,.652,85,82,3,5,5,1,1,6/5D\
1075,Jesus\'a0Sucre\\sucreje01,26,SEA,AL,21,64,61,4,13,2,0,0,5,0,0,0,17,.213,.213,.246,.459,33,15,0,0,3,0,0,2\
1076,Andrew\'a0Susac\\susacan01,24,SFG,NL,35,95,88,13,24,8,0,3,19,0,0,7,28,.273,.326,.466,.792,125,41,0,0,0,0,0,2\
